ID,ACCOUNT_ID,EVENT,TIMESTAMP,PAGE_URL,BUTTON_LABEL
1,83,Button Clicked,2022-03-15T00:18:25,,Invite
2,83,Page Viewed,2022-03-15T00:20:48,www.piespace.example/invite,
3,83,Page Viewed,2022-03-15T00:20:48,www.piespace.example/home,
4,83,Page Viewed,2022-03-15T00:25:26,www.piespace.example/home,
5,83,Page Viewed,2022-03-15T00:26:00,www.piespace.example/invite,
6,83,Page Viewed,2022-03-15T00:26:00,www.piespace.example/pies,
7,83,Page Viewed,2022-03-15T00:43:18,www.piespace.example/pies,
8,217,Page Viewed,2022-03-15T00:43:54,www.piespace.example/help,
9,478,Page Viewed,2022-03-15T01:16:39,www.piespace.example/home,
10,738,Page Viewed,2022-03-15T01:51:43,www.piespace.example/invite,
11,738,Page Viewed,2022-03-15T02:06:01,www.piespace.example/login,
12,200,Page Viewed,2022-03-15T02:07:37,www.piespace.example/login,
13,738,Page Viewed,2022-03-15T02:09:41,www.piespace.example/home,
14,24,Button Clicked,2022-03-15T02:12:28,,Invite
15,24,Page Viewed,2022-03-15T02:13:19,www.piespace.example/invite,
16,200,Page Viewed,2022-03-15T02:14:21,www.piespace.example/invite,
17,10,Page Viewed,2022-03-15T02:53:56,www.piespace.example/pies,
18,12,Page Viewed,2022-03-15T02:57:50,www.piespace.example/login,
19,31,Button Clicked,2022-03-15T02:58:29,,Create Item
20,31,Button Clicked,2022-03-15T02:58:40,,Signup
21,31,Button Clicked,2022-03-15T02:58:50,,Create Item
22,31,Button Clicked,2022-03-15T02:59:31,,Subscribe
23,31,Button Clicked,2022-03-15T02:59:43,,Invite
24,31,Button Clicked,2022-03-15T02:59:52,,Subscribe
25,31,Button Clicked,2022-03-15T02:59:59,,Signup
26,31,Page Viewed,2022-03-15T03:00:51,www.piespace.example/help,
27,12,Page Viewed,2022-03-15T03:01:19,www.piespace.example/help,
28,31,Page Viewed,2022-03-15T03:06:51,www.piespace.example/pies,
29,10,Page Viewed,2022-03-15T03:06:57,www.piespace.example/home,
30,31,Page Viewed,2022-03-15T03:07:39,www.piespace.example/help,
31,31,Page Viewed,2022-03-15T03:10:46,www.piespace.example/login,
32,31,Page Viewed,2022-03-15T03:11:30,www.piespace.example/invite,
33,31,Page Viewed,2022-03-15T03:12:35,www.piespace.example/login,
34,31,Page Viewed,2022-03-15T03:16:34,www.piespace.example/invite,
